NUM_O2,DENSITY_STEEPNESS,O2_MOVE_PROB_MIN,EXCITED_LIFETIME,Simulated_QY_Ru1,Simulated_QY_Ru2,Ru1_Events,Ru2_Events
100,0.2,0.05,20,0.07581059015628645,0.09374299170217537,4287,4459
100,0.2,0.05,30,0.02261772339636633,0.05729780712096204,5394,4241
100,0.2,0.05,40,0.013261579857774361,0.05975975975975976,5203,3330
100,0.2,0.1,20,0.04424103737604882,0.16240995415848067,5244,3054
100,0.2,0.1,30,0.01992619926199262,0.05544978581627796,5420,4202
100,0.2,0.1,40,0.012421135646687698,0.03270300333704116,5072,4495
100,0.2,0.15,20,0.0561727101236638,0.10156056477582363,4771,4037
100,0.2,0.15,30,0.021427240544065584,0.03883089770354906,5367,4790
100,0.2,0.15,40,0.016642396505096736,0.04753914988814318,4807,3576
100,0.3,0.05,20,0.05221203666799522,0.06963136337039204,5018,5127
100,0.3,0.05,30,0.019193857965451054,0.07150655021834061,5210,3664
100,0.3,0.05,40,0.02258823529411765,0.04677173360447382,4250,3934
100,0.3,0.1,20,0.05570184322463034,0.09886739027843322,4937,4238
100,0.3,0.1,30,0.024188671638782504,0.048008611410118404,4961,4645
100,0.3,0.1,40,0.013243761996161228,0.036141804788213626,5210,4344
100,0.3,0.15,20,0.04132990448199853,0.08517626450624043,5444,4567
100,0.3,0.15,30,0.016832440703902066,0.047524752475247525,5228,4545
100,0.3,0.15,40,0.011826783114992722,0.028860650441524877,5496,4643
100,0.5,0.05,20,0.06739526411657559,0.081267217630854,4392,5082
100,0.5,0.05,30,0.024013024013024013,0.07364532019704434,4914,4060
100,0.5,0.05,40,0.02103073723133811,0.0617816091954023,4327,3480
100,0.5,0.1,20,0.05021259364243774,0.09812108559498957,4939,4311
100,0.5,0.1,30,0.033502772643253236,0.060591827148896195,4328,4258
100,0.5,0.1,40,0.019821605550049554,0.03642185311186712,4036,4997
100,0.5,0.15,20,0.04390907324655139,0.08210180623973727,5147,4872
100,0.5,0.15,30,0.029411764705882353,0.048897620606854396,4726,4581
100,0.5,0.15,40,0.022396675132763794,0.027706818628414228,4331,5089
180,0.2,0.05,20,0.012312769738512313,0.047932795256135724,7878,6071
180,0.2,0.05,30,0.0043076923076923075,0.02555608140085187,8125,6339
180,0.2,0.05,40,0.003474009264024704,0.012043246202271794,7772,7307
180,0.2,0.1,20,0.021920668058455117,0.05498766302432147,6706,5674
180,0.2,0.1,30,0.005854474491218288,0.017937219730941704,7174,7136
180,0.2,0.1,40,0.0022213511041421666,0.011547344110854504,7653,6928
180,0.2,0.15,20,0.016004415011037526,0.048535564853556486,7248,5975
180,0.2,0.15,30,0.0043821209465381246,0.018801589727911953,7987,6542
180,0.2,0.15,40,0.002177811939533692,0.022205909341163517,7806,5449
180,0.3,0.05,20,0.011292834890965732,0.03884333189469141,7704,6951
180,0.3,0.05,30,0.004960187965017622,0.023989531840651352,7661,6878
