Potential,Current,Potential_vs_Fc
-0.174,-1.601e-06,-0.8029999999999999
-0.175,-1.605e-06,-0.804
-0.176,-1.614e-06,-0.8049999999999999
-0.177,-1.617e-06,-0.806
-0.178,-1.623e-06,-0.8069999999999999
-0.179,-1.628e-06,-0.808
-0.18,-1.636e-06,-0.8089999999999999
-0.181,-1.639e-06,-0.81
-0.182,-1.647e-06,-0.8109999999999999
-0.183,-1.651e-06,-0.812
-0.184,-1.658e-06,-0.813
-0.185,-1.662e-06,-0.8140000000000001
-0.186,-1.67e-06,-0.815
-0.187,-1.672e-06,-0.8160000000000001
-0.188,-1.682e-06,-0.817
-0.189,-1.683e-06,-0.8180000000000001
-0.19,-1.691e-06,-0.819
-0.191,-1.694e-06,-0.8200000000000001
-0.192,-1.704e-06,-0.821
-0.193,-1.706e-06,-0.8220000000000001
-0.194,-1.714e-06,-0.823
-0.195,-1.716e-06,-0.8240000000000001
-0.196,-1.725e-06,-0.825
-0.197,-1.727e-06,-0.8260000000000001
-0.198,-1.736e-06,-0.827
-0.199,-1.739e-06,-0.8280000000000001
-0.2,-1.747e-06,-0.829
-0.201,-1.75e-06,-0.8300000000000001
-0.202,-1.758e-06,-0.831
-0.203,-1.759e-06,-0.8320000000000001
-0.204,-1.768e-06,-0.833
-0.205,-1.775e-06,-0.834
-0.206,-1.782e-06,-0.835
-0.207,-1.784e-06,-0.836
-0.208,-1.792e-06,-0.837
-0.209,-1.795e-06,-0.838
-0.21,-1.801e-06,-0.839
-0.211,-1.806e-06,-0.84
-0.212,-1.814e-06,-0.841
-0.213,-1.816e-06,-0.842
-0.214,-1.824e-06,-0.843
-0.215,-1.828e-06,-0.844
-0.216,-1.834e-06,-0.845
-0.217,-1.839e-06,-0.846
-0.218,-1.847e-06,-0.847
-0.219,-1.85e-06,-0.848
-0.22,-1.858e-06,-0.849
-0.221,-1.86e-06,-0.85
-0.222,-1.869e-06,-0.851
-0.223,-1.87e-06,-0.852
-0.224,-1.88e-06,-0.853
-0.225,-1.883e-06,-0.854
-0.226,-1.89e-06,-0.855
-0.227,-1.894e-06,-0.856
-0.228,-1.901e-06,-0.857
-0.229,-1.904e-06,-0.858
-0.23,-1.914e-06,-0.859
-0.231,-1.917e-06,-0.86
-0.232,-1.924e-06,-0.861
-0.233,-1.926e-06,-0.862
-0.234,-1.935e-06,-0.863
-0.235,-1.937e-06,-0.864
-0.236,-1.945e-06,-0.865
-0.237,-1.949e-06,-0.866
-0.238,-1.957e-06,-0.867
-0.239,-1.959e-06,-0.868
-0.24,-1.967e-06,-0.869
-0.241,-1.969e-06,-0.87
-0.242,-1.976e-06,-0.871
-0.243,-1.981e-06,-0.872
-0.244,-1.99e-06,-0.873
-0.245,-1.992e-06,-0.874
-0.246,-2.002e-06,-0.875
-0.247,-2.004e-06,-0.876
-0.248,-2.011e-06,-0.877
-0.249,-2.016e-06,-0.878
-0.25,-2.024e-06,-0.879
-0.251,-2.027e-06,-0.88
-0.252,-2.035e-06,-0.881
-0.253,-2.038e-06,-0.882
-0.254,-2.048e-06,-0.883
-0.255,-2.05e-06,-0.884
-0.256,-2.059e-06,-0.885
-0.257,-2.063e-06,-0.886
-0.258,-2.071e-06,-0.887
-0.259,-2.075e-06,-0.888
-0.26,-2.083e-06,-0.889
-0.261,-2.085e-06,-0.89
-0.262,-2.094e-06,-0.891
