Wavelength	S1c / R1c
nm	CPS / MicroAmps
701	9291.77164266564
702	8890.05993969831
703	8773.58058571175
704	8343.37506646322
705	7526.90963505659
706	7593.97421809825
707	7127.53045245196
708	6738.8833166296
709	7047.11719370956
710	6313.795414463
711	6477.12576115242
712	6241.57718795868
713	5973.79624287161
714	5377.89066721512
715	5382.68721136288
716	5291.93813682008
717	4886.40222832995
718	5241.89108605479
719	4853.05639313778
720	4464.81119567387
721	4240.29017837407
722	3816.95012324327
723	4087.7069742798
724	3819.74535231955
725	3682.94303696046
726	3480.60350760802
727	3427.11319960021
728	3338.77616301363
729	2956.39125818418
730	3056.78272136831
731	2923.42663705054
732	2810.76406171252
733	2639.23703340092
734	2476.67152355026
735	2499.92442856516
736	2471.50450610824
737	2411.14649571218
738	1986.58586349186
739	1948.8824218025
740	2002.28260770903
741	2239.59588386154
742	1956.36962125562
743	1831.55231542023
744	1726.20948703512
745	1670.21019669855
746	1560.5939840624
747	1463.67412539779
748	1504.04117734182
749	1417.86669174064
750	1442.75111691744
751	1499.74186905487
752	1134.28295824523
753	1267.92378387998
754	1264.71632491448
755	1099.96871111269
756	950.47561264863
757	1040.83090927775
758	1085.38388934355
759	1010.79160633385
760	881.47979631973
761	901.554296982837
762	725.576665890515
763	900.66668128034
764	879.78241381776
765	882.569101300704
766	745.981212062408
767	763.347987786297
768	712.300617439719
769	667.021201825625
770	601.367396600108
771	679.84326975544
772	646.450629328985
773	625.892861943265
774	581.135874474027
775	551.458131896925
776	491.600238014169
777	387.170233623304
778	503.011717202264
779	498.149956765603
780	413.723338302615
781	487.499556914276
782	433.208997127712
783	407.399663111797
784	402.63517693333
785	447.143642295594
786	387.36439120914
787	456.173675031235
788	447.282610950577
789	378.003669695784
790	402.792892096153
791	462.856327994195
792	387.594200482571
793	318.081651430065
794	302.778907667989
795	352.964522405906
796	282.47296983566
797	222.818956503947
798	257.552290002952
799	178.042968196589
800	217.437538452613
801	337.404325295579
802	192.634488816274
803	272.717485220756
804	207.545834175199
805	222.840731644657
806	163.105207281925
807	182.911360796943
808	153.168745341907
809	163.19034768905
810	133.018168385339
811	208.314809704015
812	242.64271342472
813	153.103661220713
814	108.229719236036
815	193.201798351507
816	113.316018367617
817	118.03162053098
818	148.18633295637
819	183.06217492753
820	138.4736695677
821	163.199874672444
822	98.2843079539879
823	172.519063042725
824	43.3319681179433
825	117.997076524788
826	43.3633110464303
827	98.0161365536666
828	108.125515412101
829	68.3872472786806
830	68.2878355258892
831	58.2812261847438
832	113.153920202337
833	18.4617574739548
834	98.0225219797084
835	88.2576204671697
836	83.3436536994574
837	73.3738696188025
838	152.717618727214
839	58.3785406758118
840	88.1738816883961
841	63.3984221004309
842	73.1881868936426
843	98.2009681082225
844	33.3745928108547
845	48.3013362823266
